cik,subset,ticker,label,Fiscal Period,Cost of Goods Sold,"Depreciation, Depletion and Amortization",EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
215310,train,BMMI,False,Dec 1999,306.0,23.0,26.0,50.0,48.0,166.0,0.0,8.0,93.0,354.0,384.0,150.0,60.0,82.0,247.0,23.0,42.0
215310,train,BMMI,False,Dec 2000,301.0,24.0,34.0,58.0,54.0,144.0,0.0,15.0,106.0,354.0,374.0,159.0,64.0,82.0,227.0,23.0,46.0
215310,train,BMMI,False,Dec 2001,277.0,24.0,-1.0,22.0,25.0,141.0,0.0,-23.0,82.0,302.0,332.0,123.0,53.0,72.0,215.0,28.0,35.0
215310,train,BMMI,False,Dec 2002,226.0,21.0,2.0,23.0,22.0,98.0,0.0,-62.0,20.0,248.0,247.0,105.0,61.0,60.0,188.0,22.0,28.0
1178879,train,FOLD,False,Dec 2016,0.8,3.2,-198.4,-195.1,4.1,154.5,709.2,-200.0,-779.6,5.0,1036.8,340.1,111.0,3.4,676.7,179.2,1.3
1178879,train,FOLD,False,Dec 2017,6.2,3.6,-431.9,-428.3,30.7,164.2,2403.0,-284.0,-1063.6,36.9,627.0,392.0,70.0,4.6,274.2,241.6,9.5
1178879,train,FOLD,False,Dec 2018,14.4,4.2,-326.7,-322.5,76.8,321.7,1814.3,-349.0,-1412.2,91.2,790.0,551.1,86.1,8.4,447.0,402.3,22.0
1178879,train,FOLD,False,Dec 2019,22.0,4.8,-337.0,-332.3,160.3,149.5,2487.8,-356.4,-1768.6,182.2,850.2,520.1,128.8,14.0,373.8,461.0,33.3
1178879,train,FOLD,False,Dec 2020,31.0,8.8,-251.8,-243.0,229.8,389.3,6051.0,-276.9,-2045.5,260.9,886.5,579.5,129.7,19.6,600.1,473.7,46.9
1061219,train,EPD,False,Dec 2016,19644.0,1552.0,3559.0,5111.0,3379.0,21121.0,57260.0,2513.0,0.0,23022.0,52194.0,6528.0,8251.0,1771.0,29928.0,160.0,3331.0
1061219,train,EPD,False,Dec 2017,25558.0,1644.0,3866.0,5510.0,3684.0,21714.0,57290.0,2799.0,0.0,29242.0,54418.0,6506.0,9295.0,1610.0,31646.0,181.0,4360.0
